Starting cal age BP	calendar age	 14C age BP	 total 14C uncertainty	 cal yr span	 cal year uncertainty	 wiggle match uncertainty	 varve count uncertainty	Lab ID	 dataset number	 observation number
YR BP	YR BP	YR BP	YR	YR	YR					
25866	25866	21430	94.3	1	52.5	0	0	CAMS 73942	11	104
25743	25743	21400	94.3	1	61	0	0	CAMS 73939	11	103
25741	25741	21400	94.3	1	52.5	0	0	CAMS 73941	11	102
25645	25645	21310	94.3	1	40	0	0	CAMS 73938	11	101
25639	25639	21320	94.3	1	45	0	0	CAMS 73940	11	98
25639	25639	21360	94.3	1	45	0	0	CAMS 73948	11	99
25639	25639	21460	94.3	1	45	0	0	CAMS 76153	11	100
25292	25292	20040	159.8	1	33	0	0	papua	14	35
25265	25265	21000	94.3	1	225	0	0	CAMS 73936	11	97
25045	25045	21020	94.3	1	29.5	0	0	CAMS 73937	11	96
24883	24883	20720	89.4	1	54.5	0	0	CAMS 73933	11	95
24579	24579	20740	94.3	1	40.5	0	0	CAMS 73934	11	91
24579	24579	20570	94.3	1	40.5	0	0	CAMS 73935	11	92
24579	24579	20630	94.3	1	40.5	0	0	CAMS 73947	11	93
24579	24579	20680	91.8	1	40.5	0	0	CAMS 81548	11	94
24577	24577	19780	145	1	50.5	0	0	tasmaloum	14	29
23867	23867	19950	94.3	1	44	0	0	CAMS 73931	11	90
23858	23858	19900	89.4	1	68.5	0	0	CAMS 73932	11	89
23644	23644	19330	205.2	1	33	0	0	papua	14	34
23510	23510	20070	255	1	35	0	0	mururoa	10	12
23296	23296	19360	89.4	1	60.5	0	0	CAMS 73929	11	88
23044	23044	19460	89.4	1	36.5	0	0	CAMS 73928	11	87
23039	23039	19390	89.4	1	37.5	0	0	CAMS 73930	11	86
22709	22709	19592	233.2	1	38	0	0	urlepa	14	9
22690	22690	19652	184.4	1	69.5	0	0	urlepa	14	8
22574	22574	19000	89.4	1	47.5	0	0	CAMS 73927	11	85
22536	22536	19090	100	1	45.5	0	0	CAMS 86507	11	83
22536	22536	19110	100	1	45.5	0	0	CAMS 86517	11	84
22260	22260	18832	169.7	1	57	0	0	urlepa	14	7
22160	22160	18390	89.4	1	61.5	0	0	CAMS 73926	11	82
22127	22127	18852	192.1	1	49	0	0	urlepa	14	6
21980	21980	18450	203.9	1	65	0	0	barbados	10	8
21972	21972	18310	89.4	1	27.1	0	0	CAMS 73925	11	80
21972	21972	18310	89.4	1	27.1	0	0	CAMS 73950	11	81
21970	21970	18162	150	1	38	0	0	urlepa	14	5
21858	21858	18230	89.4	1	40.5	0	0	CAMS 73924	11	79
21802	21802	18225	89.4	1	41	0	0	CAMS 82275	11	78
21714	21714	18190	89.4	1	40.5	0	0	CAMS 73923	11	76
21714	21714	18190	89.4	1	40.5	0	0	CAMS 73952	11	77
21606	21606	18422	192.1	1	50.5	0	0	urlepa	14	4
21568	21568	18466	183.1	1	29	0	0	tasmaloum	14	28
20610	20610	17270	224.7	1	60	0	0	barbados	10	7
20559	20559	17906	191.4	1	37.5	0	0	tasmaloum	14	27
20385	20385	17250	132	1	26.5	0	0	tasmaloum	14	26
20339	20339	17185	87.3	1	79	0	0	CAMS 82274	11	74
20339	20339	17235	310.5	1	79	0	0	Gif (AMS)	11	75
19913	19913	16860	89.4	1	33.5	0	0	CAMS 88782	11	72
19913	19913	16855	89.4	1	33.5	0	0	CAMS 88788	11	73
19770	19770	16385	91.8	1	30.5	0	0	CAMS 86510	11	70
19770	19770	16365	94.3	1	30.5	0	0	CAMS 86519	11	71
19708	19708	16035	89.4	1	26	0	0	CAMS 88775	11	69
19677	19677	16705	94.3	1	64	0	0	CAMS 86512	11	67
19677	19677	16720	91.8	1	64	0	0	CAMS 86522	11	68
19650	19650	16625	87.3	1	110	0	0	CAMS 88778	11	66
19638	19638	16620	87.3	1	25	0	0	CAMS 88777	11	64
19638	19638	16525	89.4	1	25	0	0	CAMS 88787	11	65
19627	19627	16790	91.8	1	33.5	0	0	CAMS 86513	11	63
19623	19623	17136	138.3	1	34	0	0	tasmaloum	14	25
19595	19595	16665	89.4	1	43.5	0	0	CAMS 88780	11	61
19595	19595	16755	89.4	1	43.5	0	0	CAMS 88793	11	62
19581	19581	16115	91.8	1	25.5	0	0	CAMS 86521	11	60
19483	19483	16615	91.8	1	26.5	0	0	CAMS 86511	11	59
19438	19438	15795	89.4	1	24.5	0	0	CAMS 88770	11	57
19438	19438	15805	89.4	1	24.5	0	0	CAMS 88784	11	58
19434	19434	16495	89.4	1	29.5	0	0	CAMS 88776	11	55
19434	19434	16475	89.4	1	29.5	0	0	CAMS 88786	11	56
19337	19337	16105	89.4	1	22.5	0	0	CAMS 88774	11	54
19086	19086	16040	87.3	1	35.3	0	0	CAMS 81547	11	52
19086	19086	15975	91.8	1	35.3	0	0	CAMS 86516	11	53
19000	19000	16400	183.4	1	35	0	0	barbados	10	6
